authfull,inst_name,cntry,np6019,np,firstyr,lastyr,rank (ns),nc9619 (ns),h19 (ns),hm19 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6019 cited9619 (ns),np cited9619 (ns),self%,rank,nc9619,h19,hm19,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6019 cited9619,np cited9619,np6019_d,np_d,nc9619_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,top percentile,top percentile (ns),is_diaspora,academic_age,percentile_group
"Bouras, M.",,,6,6,1976,1987,6396281,9,1,0.75,1,0,5,9,6,9,0.797959127116512,9,1.0,4,4,0.0,6671798,9,1,0.75,1,0,5,9,6,9,0.794982714137357,9,1.0,4,4,0,0,0,,,,,,,,,,,,1,44,unknown
"Tsiakalos, G.",,,5,5,1979,1981,6411178,6,2,0.833333333333333,0,0,3,6,5,6,0.794012927185151,5,1.2,3,3,0.0,6693044,6,2,0.833333333333333,0,0,3,6,5,6,0.790377276175533,5,1.2,3,3,0,0,1,,,,,,,,,,,,1,41,unknown
"Lappa, K.",,,21,21,1989,1990,6413173,4,1,1.0,21,4,21,4,21,4,0.793595768775029,4,1.0,3,3,0.0,6687068,4,1,1.0,21,4,21,4,21,4,0.790581881643568,4,1.0,3,3,0,0,0,,,,,,,,,,,,1,31,unknown
"Pistolas, Philip",,,13,13,1998,2009,6413173,4,1,1.0,13,4,13,4,13,4,0.793595768775029,4,1.0,3,3,0.0,6687068,4,1,1.0,13,4,13,4,13,4,0.790581881643568,4,1.0,3,3,0,0,0,,,,,,,,,,,,1,22,unknown
"Kalogeridis, Carla",,,13,13,2004,2005,6413173,4,1,1.0,13,4,13,4,13,4,0.793595768775029,4,1.0,2,2,0.0,6687068,4,1,1.0,13,4,13,4,13,4,0.790581881643568,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,16,unknown
"Kritikou, Ekat",,,8,8,2006,2008,6413173,4,1,1.0,8,4,8,4,8,4,0.793595768775029,4,1.0,1,1,0.0,6687068,4,1,1.0,8,4,8,4,8,4,0.790581881643568,4,1.0,1,1,0,0,0,,,,,,,,,,,,1,14,unknown
"Joannides, T.",,,8,8,1960,1969,6430963,7,1,0.833333333333333,3,1,7,6,7,6,0.790193583353582,7,1.0,4,4,0.0,6704284,7,1,0.833333333333333,3,1,7,6,7,6,0.787211325721249,7,1.0,4,4,0,0,0,,,,,,,,,,,,1,60,unknown
"Fotiades, P.",,,10,10,1975,1979,6439762,7,2,1.0,0,0,6,3,10,7,0.787882416893324,7,1.0,2,2,0.0,6715111,7,2,1.0,0,0,6,3,10,7,0.784077912034353,7,1.0,2,2,0,0,0,,,,,,,,,,,,1,45,unknown
"Gerali, P. S.",,,5,5,1991,1991,6448738,6,1,1.0,2,1,3,5,5,6,0.785525698911348,6,1.0,3,3,0.0,6720961,6,1,1.0,2,1,3,5,5,6,0.782414226859124,6,1.0,3,3,0,0,0,,,,,,,,,,,,1,29,unknown
"Mangakis, N.",,,7,7,1961,1967,6453747,10,1,0.583333333333333,1,0,3,9,5,9,0.784223634422409,10,1.0,2,2,0.0,6724252,10,1,0.583333333333333,1,0,3,9,5,9,0.781419201682396,10,1.0,2,2,0,0,0,,,,,,,,,,,,1,59,unknown
"Kapantais, G.",Office of vital and Health Statistics System,,5,5,1976,1989,6486260,5,2,1.0,2,0,4,5,5,5,0.775250268329211,5,1.0,2,2,0.0,6758638,5,2,1.0,2,0,4,5,5,5,0.771495803009885,5,1.0,2,2,0,0,0,,,,,,,,,,,,1,44,unknown
"Vlachos, J.",,,10,10,1968,1976,6487987,4,1,1.0,3,3,6,4,10,4,0.774929171158413,4,1.0,2,2,0.0,6756344,4,1,1.0,3,3,6,4,10,4,0.771915284026952,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,52,unknown
"Zioganas, C.",,,5,5,1986,1995,6487987,4,1,1.0,4,3,5,4,5,4,0.774929171158413,4,1.0,4,4,0.0,6756344,4,1,1.0,4,3,5,4,5,4,0.771915284026952,4,1.0,4,4,0,0,1,,,,,,,,,,,,1,34,unknown
"Moraitis, S.",,,6,6,1970,1979,6510210,15,1,1.0,4,0,5,1,6,15,0.769293400465509,15,1.0,2,2,0.0,6777766,15,1,1.0,4,0,5,1,6,15,0.766034177932903,15,1.0,2,2,0,0,0,,,,,,,,,,,,1,50,unknown
"Psilas, K.",,,8,8,1975,1984,6566450,7,1,0.833333333333333,0,0,7,7,8,7,0.753960743894429,7,1.0,2,2,0.0,6828355,7,1,0.833333333333333,0,0,7,7,8,7,0.750965457672905,7,1.0,2,2,0,0,0,,,,,,,,,,,,1,45,unknown
"Anastasiades, A. A.",,,2,6,1954,1977,6575825,34,1,0.333333333333333,1,0,2,0,5,34,0.7513238475911,34,1.0,0,1,0.0,6835710,34,1,0.333333333333333,1,0,2,0,5,34,0.748685649081661,34,1.0,0,1,0,0,0,,,,,,,,,,,,1,66,unknown
"Rigopoulou, D.",,,5,5,1968,1970,6599099,23,2,0.766666666666666,0,0,1,2,1,2,0.744839752942521,18,1.27777777777777,4,4,0.0,6860704,23,2,0.766666666666666,0,0,1,2,1,2,0.741087459792608,18,1.27777777777777,4,4,0,0,0,,,,,,,,,,,,1,52,unknown
"Traiforos, S. A.","SAT Consultants, Inc",,11,11,1979,2017,6601626,7,1,0.75,1,0,5,7,9,7,0.74409968589819,7,1.0,2,2,0.0,6860286,7,1,0.75,1,0,5,7,9,7,0.741194071605434,7,1.0,2,2,0,0,0,,,,,,,,,,,,1,41,unknown
"Iliades, C. E.",,,9,9,1967,1978,6616070,6,1,1.0,5,0,8,6,9,6,0.740174896066721,6,1.0,3,3,0.0,6873595,6,1,1.0,5,0,8,6,9,6,0.737054253475726,6,1.0,3,3,0,0,1,,,,,,,,,,,,1,53,unknown
"Eleftheriades, Christos M.",CSIR,,6,6,1978,2017,6617775,8,1,0.5,3,0,4,8,6,8,0.73985258195164,8,1.0,1,1,0.0,6872892,8,1,0.5,3,0,4,8,6,8,0.737206738289038,8,1.0,1,1,0,0,0,,,,,,,,,,,,1,42,unknown
"Kouri, G.",,,5,5,1974,1980,6625165,7,2,0.45,0,0,1,4,2,7,0.738001926722804,7,1.0,2,2,0.0,6881663,7,2,0.45,0,0,1,4,2,7,0.73480403111268,7,1.0,2,2,0,0,0,,,,,,,,,,,,1,46,unknown
"Ferekidis, E.",,,12,12,1977,1984,6640834,6,2,0.783333333333333,0,0,6,4,7,4,0.733343594186331,6,1.0,3,3,0.0,6897161,6,2,0.783333333333333,0,0,6,4,7,4,0.729794073659577,6,1.0,3,3,0,0,0,,,,,,,,,,,,1,43,unknown
"Dracopoulou, I.",,,6,6,1973,1981,6663972,9,1,0.25,0,0,2,9,3,9,0.726635586181209,9,1.0,1,1,0.0,6914649,9,1,0.25,0,0,2,9,3,9,0.72430775669935,9,1.0,1,1,0,0,0,,,,,,,,,,,,1,47,unknown
"Coletsos, P.",,,14,36,1945,1972,6683701,3,1,1.0,22,3,32,3,35,3,0.721069729940092,3,1.0,3,3,0.0,6934134,3,1,1.0,22,3,32,3,35,3,0.71812664149503,3,1.0,3,3,0,0,0,,,,,,,,,,,,1,75,unknown
"Bakaloudis, P.",,,17,17,1960,1985,6683701,3,1,1.0,9,3,10,3,14,3,0.721069729940092,3,1.0,1,1,0.0,6934134,3,1,1.0,9,3,10,3,14,3,0.71812664149503,3,1.0,1,1,0,0,0,,,,,,,,,,,,1,60,unknown
"Kouretas, D.",,,7,7,1960,1967,6683701,3,1,1.0,7,3,7,3,7,3,0.721069729940092,3,1.0,2,2,0.0,6934134,3,1,1.0,7,3,7,3,7,3,0.71812664149503,3,1.0,2,2,0,0,0,,,,,,,,,,,,1,60,unknown
"PHILIPPIDES, D.",,,3,7,1952,1962,6683701,3,1,1.0,3,3,5,3,6,3,0.721069729940092,3,1.0,1,1,0.0,6934134,3,1,1.0,3,3,5,3,6,3,0.71812664149503,3,1.0,1,1,0,0,0,,,,,,,,,,,,1,68,unknown
"Papastathis, Charalambos K.",,,6,6,1996,2001,6683701,3,1,1.0,6,3,6,3,6,3,0.721069729940092,3,1.0,2,2,0.4,6467137,5,1,1.0,6,5,6,5,6,5,0.849782123389116,5,1.0,3,3,0,0,0,,,,,,,,,,,,1,24,unknown
"Gerali, G.",,,21,21,1964,1971,6708451,7,1,0.7,0,0,12,6,14,6,0.716204157860347,5,1.4,6,6,0.0,6956427,7,1,0.7,0,0,12,6,14,6,0.713367448499603,5,1.4,6,6,0,0,0,,,,,,,,,,,,1,56,unknown
"Karagevrekis, C.",,,9,9,1966,1978,6709138,26,2,0.476190476190476,2,0,5,2,7,2,0.716006070836767,26,1.0,2,2,0.0,6958704,26,2,0.476190476190476,2,0,5,2,7,2,0.712574153802717,26,1.0,2,2,0,0,0,,,,,,,,,,,,1,54,unknown
"Samartzis, S.",,,8,8,1971,1987,6711072,7,2,0.7,0,0,3,3,4,4,0.715391426687385,7,1.0,3,3,0.0,6960864,7,2,0.7,0,0,3,3,4,4,0.711918090276439,7,1.0,3,3,0,0,0,,,,,,,,,,,,1,49,unknown
"Nikitopoulou-Maratou, G.",,,6,6,1980,1986,6715029,5,2,0.5,0,0,4,5,6,5,0.714268999036654,5,1.0,2,2,0.0,6963361,5,2,0.5,0,0,4,5,6,5,0.711069069350145,5,1.0,2,2,0,0,0,,,,,,,,,,,,1,40,unknown
"Kappos-Rigatou, I.",,,6,6,1975,1986,6748321,16,2,0.666666666666666,0,0,0,0,5,8,0.704312208791614,16,1.0,3,3,0.0,6993781,16,2,0.666666666666666,0,0,0,0,5,8,0.700771522831878,16,1.0,3,3,0,0,0,,,,,,,,,,,,1,45,unknown
"Bogdanis, E. P.","'Elektrofarfor', Scientific-Industrial Assoc",,9,9,1980,1989,6758407,12,2,0.899999999999999,0,0,0,0,7,7,0.701501213042037,12,1.0,6,6,0.1429,6736881,14,3,0.899999999999999,0,0,0,0,7,9,0.777822985381302,14,1.0,6,6,0,0,0,,,,,,,,,,,,1,40,unknown
"Vomvoyannis, A.",,,7,7,1970,1984,6784091,54,3,0.866666666666666,0,0,2,0,3,0,0.69392258376811,54,1.0,3,3,0.0,7027403,54,3,0.866666666666666,0,0,2,0,3,0,0.689504742536853,54,1.0,3,3,0,0,1,,,,,,,,,,,,1,50,unknown
"KARAVITIS, A. L.",,,2,9,1954,1964,6806247,19,1,0.5,1,0,1,0,8,19,0.687079780210131,19,1.0,0,1,0.0,7042642,19,1,0.5,1,0,1,0,8,19,0.684358805442134,19,1.0,0,1,0,0,0,,,,,,,,,,,,1,66,unknown
"Oeconomos, D.",,,3,6,1951,1974,6810219,9,1,1.0,1,0,2,1,5,8,0.685840178493677,9,1.0,2,3,0.0,7047021,9,1,1.0,1,0,2,1,5,8,0.68270612921126,9,1.0,2,3,0,0,0,,,,,,,,,,,,1,69,unknown
"Konstantinides, S.",,,6,6,1988,1990,6829444,5,2,0.666666666666666,0,0,1,2,3,5,0.679797995889625,5,1.0,2,2,0.0,7064620,5,2,0.666666666666666,0,0,1,2,3,5,0.676436209236109,5,1.0,2,2,0,0,0,,,,,,,,,,,,1,32,unknown
"Kalamaras, E.",,,27,28,1956,1979,6836417,10,1,0.783333333333333,1,0,13,1,19,9,0.677541875355224,10,1.0,3,3,0.0,7069274,10,1,0.783333333333333,1,0,13,1,19,9,0.67460389764691,10,1.0,3,3,0,0,0,,,,,,,,,,,,1,64,unknown
"Pavlidis, Chr",,,27,27,1972,1981,6845651,7,2,0.833333333333333,1,0,11,1,18,4,0.674592355998655,7,1.0,4,4,0.0,7079162,7,2,0.833333333333333,1,0,11,1,18,4,0.671014707158221,7,1.0,4,4,0,0,0,,,,,,,,,,,,1,48,unknown
"Kyrou, Ariel",,,28,28,2002,2020,6849492,3,1,1.0,17,2,20,2,28,3,0.67342819953875,3,1.0,3,3,0.25,6818852,4,1,1.0,17,3,20,3,28,4,0.753641514728811,4,1.0,4,4,0,0,0,,,,,,,,,,,,1,18,unknown
"Tsatsas, B.",,,16,16,1968,1986,6849492,3,1,1.0,8,2,9,2,14,3,0.67342819953875,3,1.0,2,2,0.0,7081136,3,1,1.0,8,2,9,2,14,3,0.670502225514474,3,1.0,2,2,0,0,0,,,,,,,,,,,,1,52,unknown
"Pateras, C.",,,7,7,1980,1989,6850664,19,2,0.583333333333333,0,0,0,0,4,5,0.67337581999721,19,1.0,2,2,0.0,7083575,19,2,0.583333333333333,0,0,0,0,4,5,0.669913739633754,19,1.0,2,2,0,0,1,,,,,,,,,,,,1,40,unknown
"Anoussakis, Charalabos",,,5,5,1969,1983,6882475,4,2,0.45,0,0,2,4,4,4,0.663076366175679,4,1.0,2,2,0.0,7109387,4,2,0.45,0,0,2,4,4,4,0.659999631820067,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,51,unknown
"Gerakaris, S.",,,8,8,1974,1982,6882868,12,2,0.666666666666666,0,0,0,0,7,6,0.662918806251345,12,1.0,2,2,0.0,7110841,12,2,0.666666666666666,0,0,0,0,7,6,0.659446630086924,12,1.0,2,2,0,0,0,,,,,,,,,,,,1,46,unknown
"Frangaki, Dimitra","A' aulx́ ß́ Kv́ Io T́s ́ Av́v, Év",,6,6,1982,1988,6883152,51,3,0.64563492063492,0,0,0,0,0,0,0.662806123499688,51,1.0,5,5,0.0556,7101253,54,3,0.64563492063492,0,0,0,0,0,0,0.66303294296586,54,1.0,5,5,0,0,3,,,,,,,,,,,,1,38,unknown
"Andritsakis, D. P.",,,10,10,1982,1990,6903975,4,1,0.5,4,1,9,4,10,4,0.655964153590803,4,1.0,2,2,0.0,7126439,4,1,0.5,4,1,9,4,10,4,0.65350480209216,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,38,unknown
"Mangakis, N.",,,8,8,1974,1990,6912248,5,1,0.7,1,0,4,4,7,5,0.653576567090988,5,1.0,3,3,0.0,7134187,5,1,0.7,1,0,4,4,7,5,0.650828950968025,5,1.0,3,3,0,0,0,,,,,,,,,,,,1,46,unknown
"Gerassimidis, T.",,,5,5,1978,1980,6913973,6,2,1.0,0,0,1,0,4,6,0.652986033446127,6,1.0,2,2,0.0,7138232,6,2,1.0,0,0,1,0,4,6,0.649298423050335,6,1.0,2,2,0,0,0,,,,,,,,,,,,1,42,unknown
"Karamitsos, D.",,,5,5,1980,1982,6928305,5,2,0.5,0,0,1,3,2,3,0.648222847482703,5,1.0,2,2,0.0,7149476,5,2,0.5,0,0,1,3,2,3,0.645062478817919,5,1.0,2,2,0,0,0,,,,,,,,,,,,1,40,unknown
"NICOLIS, F. B.",,,4,5,1959,1963,6945784,5,1,0.5,1,0,4,5,4,5,0.641986773024535,5,1.0,1,1,0.0,7162576,5,1,0.5,1,0,4,5,4,5,0.639469574787112,5,1.0,1,1,0,0,0,,,,,,,,,,,,1,61,unknown
"Evangelou, Gr",,,14,14,1973,1979,6951511,4,1,0.833333333333333,1,0,10,4,12,4,0.640517479714621,4,1.0,2,2,0.0,7168062,4,1,0.833333333333333,1,0,10,4,12,4,0.637671315613622,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,47,unknown
"Polemis, L.",,,14,14,1973,1985,6956172,27,3,0.852380952380952,0,0,0,0,1,0,0.639312063777159,27,1.0,6,6,0.0,7175095,27,3,0.852380952380952,0,0,0,0,1,0,0.635057363279361,27,1.0,6,6,0,0,0,,,,,,,,,,,,1,47,unknown
"Lefakis, P.",,,18,18,1967,1981,6957876,10,2,0.958333333333333,0,0,1,0,9,3,0.638699512372063,9,1.11111111111111,5,5,0.0,7175274,10,2,0.958333333333333,0,0,1,0,9,3,0.634974488690143,9,1.11111111111111,5,5,0,0,0,,,,,,,,,,,,1,53,unknown
"Panayotopoulos, E.",,,19,22,1959,1973,6980572,4,1,0.75,0,0,19,4,22,4,0.630656421718381,4,1.0,1,2,0.0,7192319,4,1,0.75,0,0,19,4,22,4,0.627899929546151,4,1.0,1,2,0,0,0,,,,,,,,,,,,1,61,unknown
"Papamatheakis, J.",,,5,5,1978,1981,6982129,13,1,0.5,0,0,3,0,5,13,0.630220495632668,13,1.0,1,1,0.0,7193315,13,1,0.5,0,0,3,0,5,13,0.627591467353956,13,1.0,1,1,0,0,0,,,,,,,,,,,,1,42,unknown
"Marinis, E.",,,9,9,1989,1990,6988147,43,2,0.892857142857142,0,0,0,0,0,0,0.628079368115885,42,1.02380952380952,6,6,0.2586,7002732,58,3,0.892857142857142,0,0,0,0,0,0,0.697925336355752,57,1.01754385964912,6,6,0,0,0,,,,,,,,,,,,1,31,unknown
"Dracoulides, N. N.",,,25,42,1950,1980,6989593,2,1,1.0,42,2,42,2,42,2,0.627567403586175,2,1.0,1,2,0.0,7199906,2,1,1.0,42,2,42,2,42,2,0.624715590522858,2,1.0,1,2,0,0,0,,,,,,,,,,,,1,70,unknown
"Phokitis, P.",,,7,8,1954,1975,6989593,2,1,1.0,6,2,8,2,8,2,0.627567403586175,2,1.0,0,1,0.0,7199906,2,1,1.0,6,2,8,2,8,2,0.624715590522858,2,1.0,0,1,0,0,0,,,,,,,,,,,,1,66,unknown
"Nikolaidis, D.",,,7,7,1966,1971,6989593,2,1,1.0,6,2,7,2,7,2,0.627567403586175,2,1.0,1,1,0.0,7199906,2,1,1.0,6,2,7,2,7,2,0.624715590522858,2,1.0,1,1,0,0,0,,,,,,,,,,,,1,54,unknown
"Kambylis, Athanasios",,,6,6,1971,2004,6989593,2,1,1.0,6,2,6,2,6,2,0.627567403586175,2,1.0,1,1,0.0,7199906,2,1,1.0,6,2,6,2,6,2,0.624715590522858,2,1.0,1,1,0,0,0,,,,,,,,,,,,1,49,unknown
"Gregoriades, S. A.",,,6,6,1969,1990,6989593,2,1,1.0,3,2,5,2,5,2,0.627567403586175,2,1.0,1,1,0.0,7199906,2,1,1.0,3,2,5,2,5,2,0.624715590522858,2,1.0,1,1,0,0,0,,,,,,,,,,,,1,51,unknown
"Haikalis, George",ASCE,,5,5,1984,2002,6989593,2,1,1.0,4,2,5,2,5,2,0.627567403586175,2,1.0,1,1,0.0,7199906,2,1,1.0,4,2,5,2,5,2,0.624715590522858,2,1.0,1,1,0,0,0,,,,,,,,,,,,1,36,unknown
"Petropoulos, P.",,,15,15,1974,1984,7003771,8,2,0.833333333333333,0,0,0,0,3,4,0.627030859271709,8,1.0,4,4,0.0,7214366,8,2,0.833333333333333,0,0,0,0,3,4,0.623468568260056,8,1.0,4,4,0,0,0,,,,,,,,,,,,1,46,unknown
"Dragonas, P. N.",,,6,6,1962,1972,7017571,6,2,0.833333333333333,0,0,1,0,4,5,0.622065202520925,6,1.0,4,4,0.0,7225638,6,2,0.833333333333333,0,0,1,0,4,5,0.618551185019245,6,1.0,4,4,0,0,0,,,,,,,,,,,,1,58,unknown
"Kalogeridis, C.",,,18,18,1993,1999,7044260,3,1,0.5,15,2,16,2,17,3,0.612446930246192,3,1.0,3,3,0.0,7245235,3,1,0.5,15,2,16,2,17,3,0.610075491854734,3,1.0,3,3,0,0,0,,,,,,,,,,,,1,27,unknown
"Panayotopoulos, E. K.",,,9,9,1962,1983,7044399,4,1,0.45,1,1,6,3,6,3,0.612430068333576,4,1.0,3,3,0.0,7245369,4,1,0.45,1,1,6,3,6,3,0.610057837428399,4,1.0,3,3,0,0,0,,,,,,,,,,,,1,58,unknown
"Demertzis, P. G.",,,5,5,1980,1983,7050689,5,2,0.833333333333333,1,0,1,0,5,5,0.609967930233234,5,1.0,2,2,0.0,7253660,5,2,0.833333333333333,1,0,1,0,5,5,0.606487781049888,5,1.0,2,2,0,0,0,,,,,,,,,,,,1,40,unknown
"Tsicricas, T.",,,5,5,1974,1979,7058015,6,2,0.833333333333333,0,0,1,0,4,4,0.607308474186245,6,1.0,3,3,0.0,7259386,6,2,0.833333333333333,0,0,1,0,4,4,0.603801399259713,6,1.0,3,3,0,0,0,,,,,,,,,,,,1,46,unknown
"Kollias, G.",,,8,8,1977,1980,7063724,3,1,1.0,2,0,7,3,7,3,0.605102233389988,3,1.0,2,2,0.0,7262910,3,1,1.0,2,0,7,3,7,3,0.602159144944926,3,1.0,2,2,0,0,0,,,,,,,,,,,,1,43,unknown
"Mavros, A. J.",,,2,5,1955,1982,7066130,10,2,0.533333333333333,0,0,0,0,4,4,0.604900773431992,10,1.0,2,3,0.0909,7249281,11,2,0.533333333333333,0,0,0,0,4,4,0.608448107958556,11,1.0,2,3,0,0,0,,,,,,,,,,,,1,65,unknown
"Pashalidis, S.",,,5,5,1990,1993,7077006,6,2,0.933333333333333,0,0,2,1,2,1,0.601208482078973,6,1.0,4,4,0.0,7274719,6,2,0.933333333333333,0,0,2,1,2,1,0.597592688068489,6,1.0,4,4,0,0,0,,,,,,,,,,,,1,30,unknown
"Kountouris, V. G.","George Mason University, Fairfax Campus",,6,6,1987,1992,7095179,4,1,0.75,0,0,4,3,5,3,0.594308601613344,4,1.0,3,3,0.0,7287886,4,1,0.75,0,0,4,3,5,3,0.591573881442464,4,1.0,3,3,0,0,0,,,,,,,,,,,,1,33,unknown
"Kalokerinos, A.",,,30,30,1969,1983,7097091,2,1,1.0,7,1,24,2,28,2,0.593649085194014,2,1.0,2,2,0.0,7289617,2,1,1.0,7,1,24,2,28,2,0.590797272130698,2,1.0,2,2,0,0,0,,,,,,,,,,,,1,51,unknown
"Konstantinidis, Th",,,9,9,1976,1979,7097091,2,1,1.0,1,1,5,2,9,2,0.593649085194014,2,1.0,2,2,0.0,7289617,2,1,1.0,1,1,5,2,9,2,0.590797272130698,2,1.0,2,2,0,0,0,,,,,,,,,,,,1,44,unknown
"Dimitriadou, A.",Postgraduate Medical School,,11,11,1960,1968,7123284,20,1,0.666666666666666,0,0,9,1,9,1,0.58368071762587,20,1.0,3,3,0.0,7311019,20,1,0.666666666666666,0,0,9,1,9,1,0.58079237409902,20,1.0,3,3,0,0,1,,,,,,,,,,,,1,60,unknown
"Bakos, M.",,,6,6,1981,1983,7134796,11,2,0.866666666666666,0,0,2,0,3,1,0.579264059768771,11,1.0,4,4,0.0,7321627,11,2,0.866666666666666,0,0,2,0,3,1,0.575638721112943,11,1.0,4,4,0,0,0,,,,,,,,,,,,1,39,unknown
"Kouvelas, N.",,,8,8,1982,1988,7145979,5,1,0.666666666666666,0,0,2,1,7,5,0.574287122489044,5,1.0,5,5,0.0,7329411,5,1,0.666666666666666,0,0,2,1,7,5,0.571632188705929,5,1.0,5,5,0,0,0,,,,,,,,,,,,1,38,unknown
"Michalopoulos, A.",,,9,9,1976,1981,7148728,4,1,0.333333333333333,0,0,7,4,8,4,0.573013402838874,4,1.0,1,1,0.0,7330631,4,1,0.333333333333333,0,0,7,4,8,4,0.570781089784636,4,1.0,1,1,0,0,0,,,,,,,,,,,,1,44,unknown
"Christacopoulos, P.",,,9,9,1976,1988,7150609,44,2,0.444444444444444,0,0,3,0,3,0,0.572532981520003,44,1.0,2,2,0.102,7318445,49,2,0.444444444444444,0,0,3,0,3,0,0.577383149680717,49,1.0,2,2,0,0,1,,,,,,,,,,,,1,44,unknown
"Poungouras, P.",,,10,14,1953,1974,7168510,24,1,0.866666666666666,0,0,3,0,7,1,0.56458148217641,24,1.0,3,3,0.04,7341773,25,1,0.866666666666666,0,0,3,0,7,1,0.56454691926482,25,1.0,3,3,0,0,0,,,,,,,,,,,,1,67,unknown
"Kakarantza, E.",,,12,12,1982,1987,7183225,3,1,1.0,0,0,4,2,4,2,0.55824174311215,3,1.0,3,3,0.0,7359432,3,1,1.0,0,0,4,2,4,2,0.555326723658699,3,1.0,3,3,0,0,0,,,,,,,,,,,,1,38,unknown
"Pappas, M. T.",,,5,5,1966,1971,7184587,6,2,0.45,1,0,2,0,4,4,0.557585134635185,6,1.0,2,2,0.0,7360595,6,2,0.45,1,0,2,0,4,4,0.554530220903125,6,1.0,2,2,0,0,0,,,,,,,,,,,,1,54,unknown
"Patsakas, A.",,,21,21,1974,1989,7187559,5,1,1.0,1,0,8,0,15,5,0.556129899114804,5,1.0,2,2,0.0,7362899,5,1,1.0,1,0,8,0,15,5,0.553164758350081,5,1.0,2,2,0,0,0,,,,,,,,,,,,1,46,unknown
"Achimastos, A.",,,6,6,1970,1975,7210702,20,1,0.392857142857142,0,0,2,1,2,1,0.545637971021983,20,1.0,2,2,0.0,7380638,20,1,0.392857142857142,0,0,2,1,2,1,0.543095570746345,20,1.0,2,2,0,0,0,,,,,,,,,,,,1,50,unknown
"Makris, G.",,,19,19,1970,1980,7211927,4,1,0.666666666666666,0,0,13,1,19,4,0.545222357894494,4,1.0,2,2,0.0,7381943,4,1,0.666666666666666,0,0,13,1,19,4,0.542614424404932,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,50,unknown
"Pierrakakis, S.",,,5,5,1987,1993,7212885,4,1,0.166666666666666,0,0,3,4,3,4,0.544708149948946,4,1.0,1,1,0.0,7381643,4,1,0.166666666666666,0,0,3,4,3,4,0.542733231853939,4,1.0,1,1,0,0,0,,,,,,,,,,,,1,33,unknown
"Salonikides, N.",,,5,13,1953,1974,7213118,15,1,0.533333333333333,3,0,6,1,7,1,0.544665417605665,15,1.0,2,2,0.0,7382935,15,1,0.533333333333333,3,0,6,1,7,1,0.541997546704201,15,1.0,2,2,0,0,0,,,,,,,,,,,,1,67,unknown
"Bouhoutsos, I.",,,7,7,1975,1980,7214063,3,1,0.5,1,0,6,3,6,3,0.54412096409743,3,1.0,1,1,0.0,7383273,3,1,0.5,1,0,6,3,6,3,0.541732411285186,3,1.0,1,1,0,0,0,,,,,,,,,,,,1,45,unknown
"ROUSSOS, G. G.",,,3,5,1956,1962,7236207,18,2,0.666666666666666,0,0,3,0,3,0,0.535202059119666,17,1.05882352941176,2,2,0.0,7402312,18,2,0.666666666666666,0,0,3,0,3,0,0.531720603410944,17,1.05882352941176,2,2,0,0,0,,,,,,,,,,,,1,64,unknown
"VASSILIADIS, P.",,,2,9,1957,1960,7241010,2,1,0.5,2,1,7,2,8,2,0.532667815901457,2,1.0,1,2,0.0,7404363,2,1,0.5,2,1,7,2,8,2,0.530370538470958,2,1.0,1,2,0,0,0,,,,,,,,,,,,1,63,unknown
"Antypas, G.",,,9,9,1973,1980,7268271,31,2,0.277777777777777,0,0,2,0,2,0,0.519789540819666,31,1.0,2,2,0.0,7428495,31,2,0.277777777777777,0,0,2,0,2,0,0.516705720512571,31,1.0,2,2,0,0,1,,,,,,,,,,,,1,47,unknown
"Kritsikis, S.",,,9,9,1962,1970,7270366,3,1,0.333333333333333,2,0,6,3,6,3,0.519153961620552,3,1.0,1,1,0.0,7427007,3,1,0.333333333333333,2,0,6,3,6,3,0.516992447252714,3,1.0,1,1,0,0,0,,,,,,,,,,,,1,58,unknown
"Kouki, Fatma",,,8,8,1976,1983,7280618,23,1,0.5,0,0,0,0,3,1,0.51502135886457,23,1.0,2,2,0.0,7435395,23,1,0.5,0,0,0,0,3,1,0.512348005917129,23,1.0,2,2,0,0,0,,,,,,,,,,,,1,44,unknown
"Liaras, H.",,,30,67,1946,1974,7282594,3,1,0.7,29,0,58,1,64,3,0.513847613371203,3,1.0,2,2,0.0,7437041,3,1,0.7,29,0,58,1,64,3,0.511259032070294,3,1.0,2,2,0,0,0,,,,,,,,,,,,1,74,unknown
"Leftheriotis, E.",,,8,9,1957,1972,7285355,4,1,0.866666666666666,0,0,0,0,7,4,0.512440403686122,4,1.0,3,3,0.0,7439206,4,1,0.866666666666666,0,0,0,0,7,4,0.509655253794879,4,1.0,3,3,0,0,0,,,,,,,,,,,,1,63,unknown
