authfull,inst_name,cntry,np6019,np,firstyr,lastyr,rank (ns),nc9619 (ns),h19 (ns),hm19 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6019 cited9619 (ns),np cited9619 (ns),self%,rank,nc9619,h19,hm19,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6019 cited9619,np cited9619,np6019_d,np_d,nc9619_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,top percentile,top percentile (ns),is_diaspora,academic_age,percentile_group
"Nissiotis, Nikos",,,8,8,1962,1985,4716328,10,2,2.0,8,10,8,10,8,10,1.20809040146295,8,1.25,6,6,0.0,5064066,10,2,2.0,8,10,8,10,8,10,1.20336204811236,8,1.25,6,6,0,0,0,,,,,,,,,,,,1,58,unknown
"Vogiatzis, K. V.",,,5,5,1980,1984,4716328,10,2,2.0,3,10,4,10,5,10,1.20809040146295,10,1.0,2,2,0.0,5064066,10,2,2.0,3,10,4,10,5,10,1.20336204811236,10,1.0,2,2,0,0,0,,,,,,,,,,,,1,40,unknown
"Pappas, S. Peter",,,11,11,1999,2006,4722501,492,3,1.91666666666666,0,0,0,0,10,20,1.20705512545472,491,1.0020366598778,9,9,0.012,5071039,498,3,1.91666666666666,0,0,0,0,10,20,1.20212590074364,497,1.0020120724346,9,9,0,0,8,,,,,,,,,,,,1,21,unknown
"Maragoudakis, M. E.",,,5,5,1966,1968,4766034,17,2,1.83333333333333,1,2,4,16,4,16,1.19684246815363,17,1.0,4,4,0.0,5113261,17,2,1.83333333333333,1,2,4,16,4,16,1.19207361793492,17,1.0,4,4,0,0,0,,,,,,,,,,,,1,54,unknown
"Vryonis, P.",,,7,7,1979,1992,4789253,16,1,1.0,5,16,5,16,7,16,1.19134683061992,16,1.0,3,3,0.0,5130534,16,1,1.0,5,16,5,16,7,16,1.18794466566239,16,1.0,3,3,0,0,0,,,,,,,,,,,,1,41,unknown
"Simopoulos, A. P.",,,5,5,1981,1987,4789253,16,1,1.0,4,16,4,16,5,16,1.19134683061992,16,1.0,3,3,0.0,5130534,16,1,1.0,4,16,4,16,5,16,1.18794466566239,16,1.0,3,3,0,0,1,,,,,,,,,,,,1,39,unknown
"Hadjimichael, Michael T.",,,5,5,1991,1996,4823869,38,2,0.85,0,0,4,32,4,32,1.18330386341853,36,1.05555555555555,4,4,0.0,5167305,38,2,0.85,0,0,4,32,4,32,1.17912209317622,36,1.05555555555555,4,4,0,0,1,,,,,,,,,,,,1,29,unknown
"Yannoulatos, Anastasios",,,5,5,1963,1985,4849806,9,2,2.0,5,9,5,9,5,9,1.17711272022976,6,1.5,5,5,0.0,5195047,9,2,2.0,5,9,5,9,5,9,1.17241460676507,6,1.5,5,5,0,0,0,,,,,,,,,,,,1,57,unknown
"Logothetis, J.",,,8,9,1959,1971,4865926,39,2,1.66666666666666,5,2,6,2,9,39,1.17375796426117,39,1.0,2,3,0.0,5211353,39,2,1.66666666666666,5,2,6,2,9,39,1.16900114455021,39,1.0,2,3,0,0,0,,,,,,,,,,,,1,61,unknown
"Halkias, John E.",General Dynamics Corporation,,7,7,1973,1984,4879439,140,3,1.0,0,0,1,0,6,120,1.170588924744,136,1.02941176470588,4,4,0.0,5225339,140,3,1.0,0,0,1,0,6,120,1.16564863518926,136,1.02941176470588,4,4,0,0,0,,,,,,,,,,,,1,47,unknown
"Lekas, M. D.",,,6,6,1975,1988,4892535,13,2,1.25,2,6,6,13,6,13,1.16750779107316,13,1.0,4,4,0.0,5235197,13,2,1.25,2,6,6,13,6,13,1.16325745778175,13,1.0,4,4,0,0,1,,,,,,,,,,,,1,45,unknown
"Brilis, V. I.",Staatl. Univ.,,6,6,1982,1987,4900409,33,2,0.833333333333333,0,0,4,31,4,31,1.16560601497515,32,1.03125,5,5,0.0571,5146515,35,2,1.0,0,0,4,31,4,31,1.18422436644822,34,1.02941176470588,5,5,0,0,0,,,,,,,,,,,,1,38,unknown
"Stavros, A. J.",Bethlehem Steel Corporation,,5,5,1970,1984,4925404,14,2,1.5,3,3,5,14,5,14,1.15968065873252,14,1.0,4,4,0.0,5268278,14,2,1.5,3,3,5,14,5,14,1.15520534266636,14,1.0,4,4,0,0,0,,,,,,,,,,,,1,50,unknown
"Charamis, J.",,,14,18,1939,1974,4954775,10,2,1.5,7,8,17,10,17,10,1.15265619811488,10,1.0,2,2,0.0,5296662,10,2,1.5,7,8,17,10,17,10,1.148279287588,10,1.0,2,2,0,0,0,,,,,,,,,,,,1,81,unknown
"Exarhos, N. D.",,,9,9,1964,1977,4958405,34,2,0.833333333333333,0,0,3,28,5,28,1.15184597899415,34,1.0,3,3,0.0,5299062,34,2,0.833333333333333,0,0,3,28,5,28,1.14771803584364,34,1.0,3,3,0,0,0,,,,,,,,,,,,1,56,unknown
"Panousis, Peter T.",Nokia Bell Labs,,10,10,1968,1990,4980634,87,2,1.0,1,0,4,2,8,87,1.14656644431483,87,1.0,3,3,0.0,5322419,87,2,1.0,1,0,4,2,8,87,1.14216090545956,87,1.0,3,3,0,0,0,,,,,,,,,,,,1,52,unknown
"VASSILOPOULOS, LYSSIMACHOS",Maritech Inc,,13,13,1972,1988,5038745,8,2,2.0,8,7,10,8,13,8,1.1330155938509,7,1.14285714285714,3,3,0.0,5380531,8,2,2.0,8,7,10,8,13,8,1.12835090902917,7,1.14285714285714,3,3,0,0,0,,,,,,,,,,,,1,48,unknown
"Vasatis, I. P.",General Electric Company,,5,5,1985,1988,5071124,16,3,1.5,0,0,4,16,5,16,1.12520844291773,14,1.14285714285714,3,3,0.0,5413454,16,3,1.5,0,0,4,16,5,16,1.12020900958551,14,1.14285714285714,3,3,0,0,0,,,,,,,,,,,,1,35,unknown
"Iordanidis, P.",,,7,7,1961,1967,5110161,11,2,1.33333333333333,2,7,2,7,7,11,1.11595158756666,11,1.0,4,4,0.0,5448513,11,2,1.33333333333333,2,7,2,7,7,11,1.11170418218814,11,1.0,4,4,0,0,1,,,,,,,,,,,,1,59,unknown
"Anerousis, J. P.",Physichem Technologies Inc,,9,9,1977,1985,5126102,16,3,1.66666666666666,0,0,5,12,8,15,1.11199738298896,16,1.0,7,7,0.0,5467642,16,3,1.66666666666666,0,0,5,12,8,15,1.10689181301104,16,1.0,7,7,0,0,0,,,,,,,,,,,,1,43,unknown
"Bouboulis, C. J.",Exxon Mobil Corporation,,8,9,1958,1986,5173016,22,2,1.33333333333333,3,3,3,3,6,21,1.10127858071439,22,1.0,4,5,0.0,5510434,22,2,1.33333333333333,3,3,3,3,6,21,1.09690639023442,22,1.0,4,5,0,0,0,,,,,,,,,,,,1,62,unknown
"Ventouras, K.",,,11,11,1973,1989,5181956,22,3,1.58333333333333,0,0,9,11,10,11,1.09914549908149,21,1.04761904761904,5,5,0.0435,5508418,23,3,1.58333333333333,0,0,9,11,10,11,1.09738102754175,22,1.04545454545454,5,5,0,0,1,,,,,,,,,,,,1,47,unknown
"Kyriakopoulos, C.",NL Chemicals,,5,5,1988,1995,5197051,10,2,1.33333333333333,2,7,3,8,3,8,1.09549135883591,10,1.0,4,4,0.0,5533125,10,2,1.33333333333333,2,7,3,8,3,8,1.09126701822534,10,1.0,4,4,0,0,0,,,,,,,,,,,,1,32,unknown
"Vozikis, E.",Wild Heerbrugg Limited,,12,12,1979,1987,5205782,7,2,2.0,9,6,11,7,12,7,1.09341639768898,6,1.16666666666666,4,4,0.0,5543134,7,2,2.0,9,6,11,7,12,7,1.08878908291069,6,1.16666666666666,4,4,0,0,0,,,,,,,,,,,,1,41,unknown
"Kafandaris, Stelios",,,6,6,1978,1986,5268311,11,1,1.0,6,11,6,11,6,11,1.07814031093253,11,1.0,1,1,0.0,5598497,11,1,1.0,6,11,6,11,6,11,1.07484865625537,11,1.0,1,1,0,0,0,,,,,,,,,,,,1,42,unknown
"Krikos, A. A.",,,6,6,1968,1977,5268311,11,1,1.0,6,11,6,11,6,11,1.07814031093253,11,1.0,2,2,0.0,5598497,11,1,1.0,6,11,6,11,6,11,1.07484865625537,11,1.0,2,2,0,0,0,,,,,,,,,,,,1,52,unknown
"Mamakos, M. S.",,,6,6,1970,1984,5268311,11,1,1.0,5,11,6,11,6,11,1.07814031093253,11,1.0,4,4,0.0,5598497,11,1,1.0,5,11,6,11,6,11,1.07484865625537,11,1.0,4,4,0,0,0,,,,,,,,,,,,1,50,unknown
"DEMETRAKOPOULOS, N. J.",,,2,7,1957,1961,5310994,14,2,1.33333333333333,1,6,5,6,6,6,1.06772451199272,14,1.0,1,2,0.0,5643450,14,2,1.33333333333333,1,6,5,6,6,6,1.06345654811875,14,1.0,1,2,0,0,0,,,,,,,,,,,,1,63,unknown
"Panayotopoulos, S. M.",,,15,15,1963,1990,5318422,19,2,1.0,0,0,7,19,10,19,1.06584931141668,18,1.05555555555555,2,2,0.0,5649860,19,2,1.0,0,0,7,19,10,19,1.06171285122229,18,1.05555555555555,2,2,0,0,0,,,,,,,,,,,,1,57,unknown
"Akylas, V.",Philips Research,,7,7,1983,1990,5323564,78,3,0.977777777777777,0,0,0,0,3,58,1.06462392373089,69,1.13043478260869,5,5,0.0,5657342,78,3,0.977777777777777,0,0,0,0,3,58,1.05985980215921,69,1.13043478260869,5,5,0,0,0,,,,,,,,,,,,1,37,unknown
"Pnevmaticos, S. M.",Renewable Energy Div,,9,9,1974,1984,5328303,17,2,1.33333333333333,0,0,6,15,8,17,1.06344225218706,13,1.3076923076923,4,4,0.0,5660331,17,2,1.33333333333333,0,0,6,15,8,17,1.05904908696257,13,1.3076923076923,4,4,0,0,0,,,,,,,,,,,,1,46,unknown
"GEORGIADES, J.",,,7,20,1952,1961,5387733,20,2,0.75,5,0,12,20,14,20,1.04932038351414,19,1.05263157894736,0,2,0.0,5715580,20,2,0.75,5,0,12,20,14,20,1.04542583820119,19,1.05263157894736,0,2,0,0,0,,,,,,,,,,,,1,68,unknown
"ECONOMIDIS, Ioannis V.",International Institute of Cellular and Molecular Pathology,,10,10,1982,1988,5402511,36,3,1.29914529914529,0,0,4,7,4,7,1.04570497043417,34,1.05882352941176,8,8,0.122,5033570,41,4,1.79914529914529,0,0,4,12,4,12,1.21046219832896,38,1.07894736842105,8,8,0,0,0,,,,,,,,,,,,1,38,unknown
"Tsounias, B.",,,15,15,1981,1988,5417598,10,1,1.0,7,9,11,10,13,10,1.04188693397335,10,1.0,2,2,0.0,5742242,10,1,1.0,7,9,11,10,13,10,1.03862288614906,10,1.0,2,2,0,0,1,,,,,,,,,,,,1,39,unknown
"Roupas, A.",,,9,9,1968,1988,5420690,23,2,0.833333333333333,0,0,5,12,8,23,1.0411663905494,23,1.0,3,3,0.0,5747862,23,2,0.833333333333333,0,0,5,12,8,23,1.03717628068848,23,1.0,3,3,0,0,0,,,,,,,,,,,,1,52,unknown
"Paxinos, J.",,,12,12,1969,1982,5511414,35,2,1.16666666666666,4,0,7,2,11,34,1.01876551919883,35,1.0,5,5,0.0,5836311,35,2,1.16666666666666,4,0,7,2,11,34,1.01443717826811,35,1.0,5,5,0,0,1,,,,,,,,,,,,1,51,unknown
"Papaioannou, R.",,,5,5,1978,1984,5517731,20,2,1.0,0,0,3,13,4,14,1.01716362464941,20,1.0,4,4,0.0476,5827126,21,2,1.0,0,0,3,13,4,14,1.01668914542732,21,1.0,4,4,0,0,1,,,,,,,,,,,,1,42,unknown
"Tsolakis, A. I.",Nokia Bell Labs,,8,8,1981,1990,5552326,13,2,1.58333333333333,0,0,3,11,7,11,1.00890160021378,11,1.18181818181818,4,4,0.0,5876371,13,2,1.58333333333333,0,0,3,11,7,11,1.00440000889083,11,1.18181818181818,4,4,0,0,0,,,,,,,,,,,,1,39,unknown
"Kotsiolis, A. A.",,,10,10,1988,1996,5564864,14,2,1.33333333333333,2,0,9,12,9,12,1.00577875607022,13,1.07692307692307,6,6,0.0667,5868329,15,2,1.33333333333333,2,0,9,12,9,12,1.00650099823439,14,1.07142857142857,6,6,0,0,0,,,,,,,,,,,,1,32,unknown
"Zoupanos, G.",,,16,16,1968,1975,5575518,7,2,1.5,2,4,5,5,11,7,1.00304590568526,6,1.16666666666666,4,4,0.0,5897911,7,2,1.5,2,4,5,5,11,7,0.998787148151469,6,1.16666666666666,4,4,0,0,0,,,,,,,,,,,,1,52,unknown
"Siomopoulos, G.",,,5,5,1977,1982,5578759,44,2,1.45,2,2,3,3,3,3,1.00224787710697,44,1.0,4,4,0.0,5902245,44,2,1.45,2,2,3,3,3,3,0.997699091595623,44,1.0,4,4,0,0,0,,,,,,,,,,,,1,43,unknown
"Karayannopulos, Johannes",,,2,5,1956,1967,5648767,8,1,1.0,5,8,5,8,5,8,0.984637984578623,8,1.0,2,5,0.0,5963817,8,1,1.0,5,8,5,8,5,8,0.981437605283203,8,1.0,2,5,0,0,0,,,,,,,,,,,,1,64,unknown
"Roussos, J.",,,6,6,1973,1974,5668991,13,2,1.0,2,0,5,13,5,13,0.97975982747697,13,1.0,2,2,0.0,5986085,13,2,1.0,2,0,5,13,5,13,0.975736532629965,13,1.0,2,2,0,0,0,,,,,,,,,,,,1,47,unknown
"Lambrou, N.",,,20,21,1959,1988,5672575,24,2,1.83333333333333,0,0,3,4,13,8,0.978954025784014,22,1.09090909090909,8,8,0.0,5992073,24,2,1.83333333333333,0,0,3,4,13,8,0.974210021171402,22,1.09090909090909,8,8,0,0,0,,,,,,,,,,,,1,61,unknown
"Georgiades, G.",,,19,19,1961,1980,5698192,16,2,0.833333333333333,0,0,10,10,18,16,0.972503289989463,16,1.0,4,4,0.0,6013571,16,2,0.833333333333333,0,0,10,10,18,16,0.968612014009636,16,1.0,4,4,0,0,0,,,,,,,,,,,,1,59,unknown
"Hadjipavlou, A.",,,6,6,1976,1987,5698236,23,2,0.95,0,0,3,4,4,22,0.972493163152478,23,1.0,3,3,0.0,6014238,23,2,0.95,0,0,3,4,4,22,0.968442597542847,23,1.0,3,3,0,0,0,,,,,,,,,,,,1,44,unknown
"Bakris, G. L.",,,5,5,1982,1983,5754905,16,2,1.16666666666666,1,0,4,5,5,16,0.958240501646172,16,1.0,3,3,0.0,6068852,16,2,1.16666666666666,1,0,4,5,5,16,0.954063271874869,16,1.0,3,3,0,0,0,,,,,,,,,,,,1,38,unknown
"Apostolou, G. A.",,,11,11,1977,1981,5781336,23,1,0.333333333333333,1,0,5,23,9,23,0.951625181343918,23,1.0,1,1,0.0,6088065,23,1,0.333333333333333,1,0,5,23,9,23,0.948895179937053,23,1.0,1,1,0,0,0,,,,,,,,,,,,1,43,unknown
"Lelis, I. I.",,,19,20,1958,1988,5801800,7,1,1.0,16,7,20,7,20,7,0.946356183613274,7,1.0,3,3,0.0,6110180,7,1,1.0,16,7,20,7,20,7,0.943193174361288,7,1.0,3,3,0,0,0,,,,,,,,,,,,1,62,unknown
"Manos, Diana",,,7,7,2003,2004,5801800,7,1,1.0,7,7,7,7,7,7,0.946356183613274,7,1.0,3,3,0.0,6110180,7,1,1.0,7,7,7,7,7,7,0.943193174361288,7,1.0,3,3,0,0,0,,,,,,,,,,,,1,17,unknown
"Cholakos, B. V.",,,6,6,1966,1971,5813421,45,3,0.65,0,0,0,0,3,35,0.943788775776672,45,1.0,3,3,0.0625,6105588,48,3,0.65,0,0,0,0,3,35,0.944455769472922,47,1.02127659574468,3,3,0,0,0,,,,,,,,,,,,1,54,unknown
"Pilavakis, P. A.",,,5,5,1980,2017,5912708,25,2,1.0,1,0,3,1,5,25,0.918972784677943,25,1.0,3,3,0.0,6218634,25,2,1.0,1,0,3,1,5,25,0.914905672649855,25,1.0,3,3,0,0,0,,,,,,,,,,,,1,40,unknown
